cnvcAirport3Code,cnvcName,cnvcEnglishName,cnvcPinYin,cnvcShortPinYin,cniNationTypeID
YXE,萨斯卡通,Saskatoon,SaSiKaTong,SSKT,2
YXG,三沙,Sansha,SANSHA,SS,1
YYC,卡尔加里,Calgary,KaErJiaLi,KEJL,2
YYG,夏洛特敦,Charlottetown,XiaLuoTeDun,XLTD,2
YYT,圣约翰斯,Saint Johns,ShengYueHanSi,SYHS,2
YYZ,多伦多,Toronto,DuoLunDuo,DLD,2
YZY,张掖,Zhangye,ZhangYe,ZY,1
ZAG,萨格勒步,Zagreb,SaGeLeBu,SGLB,2
ZAH,扎黑丹,Zahedan,ZhaHeiDan,ZHD,2
ZAT,昭通,Zhaotong,ZhaoTong,ZT,1
ZGC,兰州,Lanzhou,LanZhou,LZ,1
ZHA,湛江,Zhanjiang,ZhanJiang,ZJ,1
ZHY,中卫,Zhongwei,ZhongWei,ZW,1
ZQZ,张家口,Zqz,ZhangJiaKou,ZJK,1
ZRH,苏黎世,Zurich,SuLiShi,SLS,2
ZUH,珠海,Zhuhai,ZhuHai,ZH,1
ZYI,遵义,Zunyi,ZunYi,ZY,1
